Categoría,Sección,Regla_Negocio
Política de Privacidad,Elimination de datos,"El proceso de eliminación de datos personales e históricos de colaboradores en Lignum Atelier se realiza una vez cumplidos los plazos de conservación documental obligatorios establecidos en las políticas de la organización, garantizando la destrucción irreversible de la información. Para los expedientes físicos, se procederá al triturado mecánico de alta seguridad mediante equipos industriales que impidan la reconstrucción de los textos, mientras que para los registros almacenados en sistemas digitales, servidores locales o almacenamiento en la nube, el departamento de Tecnología de la Información ejecutará métodos de borrado seguro y desmagnetización que imposibiliten cualquier intento de recuperación informática, levantándose siempre un acta formal que atestigüe la destrucción segura de la documentación."
Política de Privacidad,Derechos del colaborador,"Todo colaborador activo o inactivo de Lignum Atelier posee la facultad inalienable de ejercer sus derechos de consulta, actualización, rectificación y supresión de sus datos personales contenidos en las bases de datos de la empresa. Para canalizar estas solicitudes, el empleado debe presentar un requerimiento formal por escrito ante el área de Gestión Humana, detallando con claridad las modificaciones, correcciones o aclaraciones pertinentes y adjuntando los soportes documentales que lo justifiquen. Recursos Humanos dispondrá de un término máximo de diez días hábiles para dar respuesta de fondo a la solicitud y efectuar las actualizaciones en los sistemas corporativos, notificando de manera oficial al interesado una vez que los cambios hayan sido reflejados con total exactitud en su expediente."
Política de Privacidad,Seguridad informática,"La seguridad de los sistemas informáticos que soportan las operaciones de Recursos Humanos en Lignum Atelier es una prioridad estratégica gestionada de forma conjunta con la Dirección de Tecnología. Todos los sistemas de gestión de personal y nómina operan bajo redes privadas virtuales corporativas, protegidas por cortafuegos avanzados y sistemas de detección de intrusos. Queda estrictamente prohibido a los colaboradores del área compartir sus credenciales de acceso, utilizar redes inalámbricas públicas no seguras para consultar datos de personal o instalar software no autorizado en los equipos corporativos; asimismo, se realizan auditorías técnicas mensuales y pruebas de vulnerabilidad para blindar las plataformas contra ciberataques, garantizando la inviolabilidad de los datos de la plantilla laboral."
Política de Privacidad,Uso de información personal,"La información personal recolectada por Lignum Atelier se utilizará de manera exclusiva y unívoca para dar cumplimiento a las obligaciones derivadas del contrato de trabajo y para el desarrollo de programas internos de bienestar, seguridad ocupacional y capacitación. En ningún caso la empresa comercializará, transferirá ni expondrá los datos personales, números de contacto, direcciones residenciales o correos electrónicos de sus colaboradores a terceros con fines publicitarios, comerciales o de mercadeo externo. Cualquier uso de la imagen del empleado en publicaciones corporativas, folletos o redes sociales institucionales de la empresa requerirá de forma obligatoria la firma previa de una autorización expresa y voluntaria de cesión de derechos de imagen por parte del colaborador en cuestión."
Política de Privacidad,Transferencia de datos,"Lignum Atelier únicamente realizará la transferencia o transmisión de datos personales de sus colaboradores a entidades externas cuando exista una obligación legal imperativa, tal como reportes a autoridades fiscales, entidades de seguridad social, fondos de pensiones o requerimientos judiciales debidamente fundamentados. De igual forma, se autoriza la transferencia técnica de datos a proveedores externos de servicios especializados que actúen como encargados del tratamiento, por ejemplo, la firma encargada del procesamiento externo de la nómina o la entidad aseguradora de riesgos laborales. Dichos proveedores externos son seleccionados bajo estrictos criterios de seguridad y están obligados contractualmente a mantener el mismo nivel de protección de datos exigido internamente por la empresa."
Política de Reembolso,Viáticos,"La política de asignación y reembolso de viáticos en Lignum Atelier regula los gastos en los que incurren los colaboradores cuando son designados de manera oficial para cumplir asignaciones, proyectos o comisiones laborales fuera de su centro habitual de trabajo. Los viáticos cubren exclusivamente los conceptos de transporte, alojamiento, alimentación y gastos menores directamente relacionados con el cumplimiento de la labor encomendada. Todo viaje de negocios debe contar con la aprobación presupuestal previa y por escrito de la gerencia de área y de Recursos Humanos. Se establece que la entrega de fondos anticipados o el reembolso posterior estará condicionado a la presentación rigurosa de las facturas legales vigentes dentro de los plazos corporativos establecidos, no reconociéndose gastos de índole estrictamente personal."
Política de Reembolso,Transporte,"Lignum Atelier cubre los gastos de transporte de sus colaboradores cuando deban desplazarse en el cumplimiento de sus funciones oficiales fuera del perímetro urbano habitual. Para traslados terrestres intermunicipales o aéreos nacionales, los pasajes e itinerarios serán gestionados y pagados de forma directa por el área administrativa de la empresa. En los casos en que el colaborador requiera utilizar taxis, transporte público local o su vehículo particular con previa autorización, la empresa reembolsará dichos importes basándose en tarifas estándar por kilómetro recorrido o contra la presentación del recibo formal de pago correspondiente. Quedan explícitamente excluidos del reembolso las multas de tránsito, los gastos de mantenimiento preventivo del vehículo particular y los desvíos de ruta por motivos personales."
Política de Reembolso,Alimentación,"Los gastos de alimentación incurridos por los colaboradores de Lignum Atelier durante comisiones de servicio u horarios de trabajo extraordinarios autorizados serán reembolsados por la empresa, sujetos a topes diarios máximos diferenciados según la región o ciudad de destino. Para que un gasto de alimentación sea elegible para reembolso o legalización de anticipo, el colaborador debe presentar una factura electrónica válida que detalle el consumo realizado, la fecha y los datos fiscales de la organización. No se admitirán bajo ninguna circunstancia reembolsos por la compra de bebidas alcohólicas, tabaco o banquetes suntuarios que excedan los parámetros de moderación institucional, debiendo el empleado ajustarse estrictamente a las tarifas de viáticos vigentes en el manual de viáticos de la empresa."
Política de Reembolso,Hospedaje,"La empresa Lignum Atelier reconocerá los costos de hospedaje para aquellos colaboradores que requieran pernoctar fuera de su lugar de residencia habitual debido a exigencias del servicio corporativo. La reserva de las habitaciones de hotel se realizará preferentemente a través del canal corporativo centralizado en hoteles que mantengan convenios corporativos vigentes con nuestra organización. En situaciones excepcionales donde el colaborador deba pagar directamente el alojamiento, el reembolso procederá únicamente para habitaciones de categoría estándar, debiendo presentar la factura original con desglose de impuestos hoteleros oficiales. Los servicios adicionales del hotel, tales como llamadas telefónicas internacionales de carácter personal, consumos del minibar, servicio de lavandería express o canales de televisión premium, deberán ser costeados en su totalidad por el empleado."
Política de Reembolso,Capacitaciones,"Los gastos correspondientes a programas de capacitación externa, certificaciones técnicas, seminarios, diplomados o cursos especializados aprobados por la Dirección de Gestión Humana como parte del plan de desarrollo del colaborador serán asumidos en su totalidad por Lignum Atelier. El pago se efectuará por regla general directamente a la entidad educativa proveedora. En caso de que se acuerde una modalidad de reembolso al colaborador, este deberá presentar el comprobante de pago original de la matrícula, así como la constancia formal de asistencia mínima exigida o el certificado de aprobación satisfactoria expedido por la institución académica, siendo indispensable el cumplimiento de estos requisitos para proceder al desembolso de los fondos correspondientes."
Política de Reembolso,Compras autorizadas,"Se consideran compras autorizadas sujetas a reembolso en Lignum Atelier la adquisición de herramientas de trabajo menores, suministros de oficina urgentes, papelería o insumos de producción imprevistos, cuya necesidad sea crítica para garantizar la continuidad operativa y que, por razones de fuerza mayor, no puedan ser tramitados mediante el flujo regular de compras de la compañía. Para efectuar una compra menor bajo esta modalidad, el empleado debe obtener el visto bueno verbal o escrito de su jefe inmediato. El monto acumulado de estas compras menores no podrá exceder el límite asignado para la caja menor del área, y la legalización del gasto requerirá la entrega inmediata de la factura legal respectiva con los datos de identificación tributaria corporativa."
Política de Reembolso,Gastos rechazados,"Lignum Atelier se reserva el derecho absoluto de rechazar cualquier solicitud de reembolso de gastos que no se alinee estrictamente con los objetivos de negocio de la empresa o que vulnere las normativas internas establecidas. Serán rechazados de manera automática e irrevocable los gastos respaldados por recibos informales o notas de venta manuscritas que carezcan de valor fiscal, los gastos presentados fuera del plazo estipulado de cinco días hábiles posteriores a la finalización del viaje o evento, los consumos de entretenimiento como cines, espectáculos o discotecas, las propinas que excedan los porcentajes razonables sugeridos por la empresa, y cualquier gasto que no cuente con la preaprobación formal del jefe del área presupuestal correspondiente."
Política de Reembolso,Plazos,"Los plazos para la presentación, tramitación y legalización de solicitudes de reembolso y viáticos en Lignum Atelier son de obligatorio cumplimiento para todo el personal. Los colaboradores disponen de un período máximo improrrogable de cinco días hábiles contados a partir del día siguiente de la finalización del viaje de trabajo o de la realización de la compra autorizada para radicar la totalidad de las facturas y el informe de gastos ante el área de Contabilidad. Por su parte, el departamento financiero y de Recursos Humanos contará con un plazo de hasta diez días hábiles para efectuar la revisión formal, auditoría documental y proceder al abono electrónico del dinero en la cuenta bancaria del colaborador, perdiéndose el derecho al reembolso si la radicación se efectúa fuera de los tiempos fijados."
Política de Reembolso,Requisitos,"Para que una solicitud de reembolso de gastos sea admitida a trámite en Lignum Atelier, debe cumplir rigurosamente con los siguientes requisitos formales: estar debidamente cumplimentada en el formulario oficial corporativo de rendición de cuentas, contar con la firma electrónica de aprobación del jefe inmediato y del gerente de área, y adjuntar todas las facturas electrónicas originales en formato PDF y XML que cumplan con la totalidad de las exigencias tributarias vigentes. Adicionalmente, se debe anexar una justificación clara y detallada del motivo comercial de cada gasto, relacionándolo con el proyecto, cliente o actividad interna que originó el desplazamiento o la compra, no dándose inicio al proceso de pago si falta alguno de los elementos descritos."
Política de Reembolso,Proceso de aprobación,"El proceso de aprobación de reembolsos de gastos en Lignum Atelier se rige por un flujo jerárquico estricto y transparente para garantizar el control presupuestal. En primera instancia, el colaborador radica la documentación en la plataforma de gestión interna; el sistema notifica automáticamente al jefe inmediato para la validación técnica del gasto. Una vez aprobado por este, la solicitud pasa a la Gerencia de Finanzas y Administración para la verificación de la disponibilidad presupuestal y auditoría de los soportes tributarios. Finalmente, si el monto supera los límites de gasto regular de la división, se requerirá la aprobación final de la Dirección Ejecutiva, asegurando un control cruzado que prevenga desviaciones presupuestarias o usos inadecuados de los recursos corporativos."
Política de Reembolso,Pago,"Una vez que la solicitud de reembolso ha completado de manera satisfactoria el flujo de revisiones y cuenta con la aprobación definitiva del área financiera y de Gestión Humana, el pago se efectuará exclusivamente mediante transferencia bancaria electrónica a la misma cuenta de ahorros o corriente donde el colaborador recibe mensualmente el abono de su nómina regular. Lignum Atelier no realiza pagos de reembolsos o viáticos en dinero efectivo, ni mediante cheques corporativos, con el fin de mantener la trazabilidad de los flujos de caja de la organización. Las transferencias por concepto de reembolsos se procesan de manera independiente a la nómina los días viernes de cada semana, notificándose al colaborador por correo electrónico institucional sobre la dispersión del fondo."
Política de Reembolso,Auditorías,"El departamento de Control Interno y Auditoría de Lignum Atelier tiene la facultad plena de realizar revisiones periódicas, aleatorias o exhaustivas sobre la totalidad de las solicitudes de reembolso de gastos y legalizaciones de viáticos tramitadas por los colaboradores de la empresa. Estas auditorías tienen como finalidad validar el cumplimiento estricto de las políticas institucionales, la veracidad de los soportes documentales aportados y la optimización de los recursos financieros de la compañía. En caso de detectarse discrepancias, duplicidad de facturas, alteración de documentos o inflación artificial de los gastos de viaje, se suspenderá inmediatamente cualquier pago pendiente y se dará apertura a un proceso disciplinario formal que podría acarrear la desvinculación justificada del empleado."
Preguntas Frecuentes (FAQ),¿Cómo solicito vacaciones?,"El procedimiento para la solicitud de vacaciones en Lignum Atelier requiere que el colaborador realice la petición con una antelación mínima de treinta días calendario a la fecha programada para el inicio del descanso. El trámite se inicia ingresando a la plataforma digital de Gestión Humana, en el módulo de Autogestión del Empleado, seleccionando la opción 'Solicitud de Vacaciones', indicando la fecha exacta de inicio y de reincorporación laboral. Esta solicitud será remitida automáticamente al jefe inmediato para su evaluación, quien validará que el período solicitado no afecte la continuidad operativa del área y que las tareas clave queden debidamente delegadas. Una vez obtenida la aprobación del líder, el sistema enviará la notificación final al área de Nómina para su procesamiento y liquidación respectiva."
Preguntas Frecuentes (FAQ),¿Cuántos días de vacaciones tengo?,"En Lignum Atelier, cada colaborador devenga un total de quince días hábiles de vacaciones remuneradas por cada año completo de servicios prestados continuamente a la organización. Los días de vacaciones se contabilizan de lunes a viernes, excluyendo del cómputo los días sábados, domingos y aquellos días festivos determinados oficialmente por el calendario nacional. Es política de la empresa incentivar el disfrute efectivo anual de este período de descanso para garantizar el bienestar físico y mental de nuestro personal; no obstante, el colaborador podrá acumular períodos de vacaciones hasta por un máximo de dos años consecutivos, previo acuerdo formal por escrito con su jefatura inmediata y con la validación de la Dirección de Gestión Humana."
Preguntas Frecuentes (FAQ),¿Cómo solicito permisos?,"Para solicitar permisos o licencias temporales de carácter personal en Lignum Atelier, el colaborador debe diligenciar el formato oficial de 'Solicitud de Permiso Laboral' a través del sistema interno con un mínimo de tres días hábiles de anticipación, especificando claramente si el permiso es por horas o por días completos y adjuntando los soportes correspondientes en caso de citas médicas, trámites notariales o requerimientos académicos. Los permisos que no superen las cuatro horas podrán ser autorizados directamente por el jefe inmediato bajo un esquema de compensación de tiempo acordado recíprocamente; mientras que los permisos que excedan de un día completo requerirán de forma obligatoria el aval por escrito de la Gerencia de Área y la revisión de Recursos Humanos."
Preguntas Frecuentes (FAQ),¿Qué hago si me incapacito?,"En caso de presentar una enfermedad común o accidente que le impida asistir a sus labores, el colaborador de Lignum Atelier debe notificar de inmediato a su jefe directo y al área de Seguridad y Salud en el Trabajo dentro de las primeras dos horas de la jornada laboral afectada. Posteriormente, el empleado dispone de un plazo máximo de cuarenta y ocho horas para remitir al correo de Gestión Humana el certificado médico original de incapacidad expedido formalmente por la entidad de salud oficial correspondiente. No se aceptarán como válidos certificados emitidos por médicos particulares que no estén debidamente convalidados por la institución de salud de afiliación obligatoria, procediéndose al descuento del día de salario si no se radica el soporte válido."
Preguntas Frecuentes (FAQ),¿Cómo obtengo un certificado laboral?,"Los colaboradores de Lignum Atelier que requieran una certificación laboral que acredite su vínculo actual o pasado con la organización, cargo desempeñado, tipo de contrato y asignación salarial vigente, podrán autogestionar dicho documento de manera inmediata a través del portal del empleado en la intranet corporativa. El sistema generará una constancia digital en formato PDF provista de un código de verificación QR y firma electrónica institucional plenamente válida para trámites bancarios, comerciales o académicos. En caso de requerir un certificado con especificaciones adicionales, tales como el desglose detallado de funciones o mención de proyectos especiales, el interesado deberá enviar una solicitud por correo electrónico al área de Gestión Humana, la cual será atendida en tres días hábiles."
Preguntas Frecuentes (FAQ),¿Cuándo pagan la nómina?,"Lignum Atelier realiza el pago de las remuneraciones salariales a la totalidad de su personal de manera mensual, efectuando la dispersión electrónica de los fondos el último día hábil de cada mes calendario. En los casos excepcionales en que el último día del mes corresponda a un día sábado, domingo o festivo, la organización anticipará el abono de la nómina al día hábil inmediatamente anterior. Los desgloses y comprobantes de pago de nómina, donde se detallan las percepciones salariales, bonificaciones, horas extras trabajadas y los descuentos legales correspondientes a seguridad social y retenciones fiscales, estarán disponibles para consulta y descarga de cada colaborador en el portal digital de autogestión al día siguiente del pago."
Preguntas Frecuentes (FAQ),¿Cómo solicito un ascenso?,"El proceso para postular a un ascenso dentro de Lignum Atelier está estructurado bajo los principios de meritocracia, transparencia e igualdad de oportunidades para todo el personal. Los colaboradores interesados en ascender deben postularse formalmente a las convocatorias internas publicadas de forma periódica en los canales oficiales de comunicación de la empresa. Para participar en el proceso de selección interno, el empleado debe cumplir con los requisitos mínimos del perfil del cargo vacante, contar con una antigüedad mínima de un año continuo en su puesto actual, haber obtenido una calificación calificada como sobresaliente o excelente en su última evaluación de desempeño anual, y presentar un historial disciplinario completamente limpio de sanciones o amonestaciones vigentes."
Preguntas Frecuentes (FAQ),¿Cómo solicito capacitación?,"Los colaboradores que deseen postularse o solicitar una capacitación específica orientada al fortalecimiento de competencias técnicas vinculadas de manera directa con su rol operativo o administrativo en Lignum Atelier deben formalizar su requerimiento durante el ciclo anual de detección de necesidades de capacitación que lidera el área de Gestión Humana. Fuera de este ciclo, el empleado puede elevar una propuesta estructurada a su jefe directo, justificando detalladamente cómo la formación impactará positivamente en los indicadores de productividad de su área; si el jefe inmediato valida la relevancia de la capacitación, elevará la solicitud ante el comité de formación de Recursos Humanos para la evaluación de viabilidad presupuestal e inclusión en el calendario corporativo."
Preguntas Frecuentes (FAQ),¿Qué beneficios ofrece la empresa?,"Lignum Atelier pone a disposición de todos sus colaboradores vinculados mediante contrato a término indefinido un completo portafolio de beneficios extralegales enfocados en promover el bienestar integral y el desarrollo familiar. Este programa incluye pólizas de seguro de vida colectivo, convenios de descuento preferencial con entidades educativas, financieras y de recreación, auxilios económicos parciales para estudios de educación superior, días libres adicionales por acontecimientos familiares especiales como matrimonio o graduación, y la posibilidad de acceder a préstamos corporativos sin intereses para adquisición o mejoramiento de vivienda propia, de acuerdo con la disponibilidad de los fondos internos de bienestar de la empresa y sujeto al reglamento de adjudicación vigente."
Preguntas Frecuentes (FAQ),¿Cómo renuncio?,"El colaborador que decida de manera voluntaria dar por terminada su relación laboral con Lignum Atelier debe presentar una carta formal de renuncia dirigida a su jefe inmediato y con copia a la Dirección de Gestión Humana. Es política corporativa solicitar que dicha notificación se realice con una antelación mínima de quince días calendario a la fecha efectiva de retiro, con la finalidad de coordinar el proceso de entrega de puesto, transferencia de conocimientos y asignación de un reemplazo. Una vez radicada la carta, Recursos Humanos programará una entrevista de retiro obligatoria para conocer las motivaciones del colaborador y coordinará la liquidación definitiva de salarios y prestaciones sociales dentro de los tiempos estipulados por las directrices de la empresa."
Preguntas Frecuentes (FAQ),¿Qué sucede durante el período de prueba?,"El período de prueba en Lignum Atelier constituye la etapa inicial del contrato de trabajo y tiene una duración estipulada aplicable según la tipología contractual, sin exceder en ningún caso los dos meses calendario. Este lapso tiene como propósito fundamental evaluar la adaptación del nuevo colaborador a la cultura organizacional, su compatibilidad con el equipo de trabajo y su idoneidad técnica respecto a las responsabilidades asignadas en el perfil de cargo. Durante este período, tanto el empleado como la empresa se encuentran facultados para dar por terminado el vínculo laboral en cualquier momento de forma unilateral sin que haya lugar al pago de indemnizaciones. El jefe directo realizará evaluaciones de seguimiento quincenales para retroalimentar el desempeño del colaborador."
Preguntas Frecuentes (FAQ),¿Cómo reporto un accidente laboral?,"Ante la ocurrencia de cualquier accidente o lesión sufrida por un colaborador con ocasión o como consecuencia del trabajo en Lignum Atelier, se debe activar de manera inmediata el protocolo de emergencia reportando el suceso al jefe inmediato y al brigadista de primeros auxilios del área. El supervisor directo o el propio afectado deberá comunicarse de inmediato con la línea de atención de la Administradora de Riesgos Laborales asociada para recibir instrucciones médicas y coordinar el traslado del paciente al centro clínico más cercano. El área de Seguridad y Salud en el Trabajo dispondrá de un plazo máximo legal de dos días hábiles para radicar el informe formal del accidente ante las entidades correspondientes y dar inicio a la investigación de las causas."
Preguntas Frecuentes (FAQ),¿Cómo denuncio acoso laboral?,"Lignum Atelier mantiene una política de tolerancia cero frente a cualquier manifestación de acoso laboral, discriminación o maltrato psicológico dentro del entorno de trabajo. El colaborador que se considere víctima de conductas de acoso debe presentar su denuncia formal, de manera confidencial y por escrito, ante los miembros del Comité de Convivencia Laboral de la empresa, o depositarla en los buzones éticos virtuales dispuestos en la intranet. La denuncia debe contener un relato detallado de los hechos, las fechas, los lugares y las pruebas documentales o testimoniales que sustenten la acusación. El comité sesionará con carácter de confidencialidad absoluta, escuchará a las partes involucradas y emitirá un dictamen definitivo y recomendaciones disciplinarias pertinentes."
Preguntas Frecuentes (FAQ),¿Cómo solicito trabajo remoto?,"La modalidad de trabajo remoto o esquemas flexibles de presencialidad en Lignum Atelier aplica exclusivamente para aquellos cargos cuyas funciones administrativas, técnicas o estratégicas puedan ser desempeñadas de forma eficiente fuera de las instalaciones físicas de la empresa, quedando excluido el personal de la planta de producción. Para solicitar la inclusión en este esquema híbrido, el empleado debe presentar una propuesta formal a su jefe inmediato demostrando que cuenta con las condiciones técnicas de conectividad y ergonomía en su domicilio. La solicitud requiere la aprobación técnica del área de Tecnología, la validación operativa del jefe directo y la autorización final de la Dirección de Gestión Humana mediante la firma de un otrosí contractual."
Preguntas Frecuentes (FAQ),¿Qué debo hacer si cambio de dirección?,"Es una obligación de carácter estrictamente corporativo y de seguridad para todos los empleados de Lignum Atelier mantener actualizada su información de residencia y datos de contacto en los registros oficiales. En caso de realizar un cambio de domicilio residencial, el colaborador debe notificar de manera formal la nueva dirección, número telefónico fijo y celular a la coordinación de nómina y Gestión Humana dentro de los tres días hábiles posteriores a la mudanza. El trámite se efectúa actualizando los campos respectivos en el sistema de autogestión de personal y adjuntando una copia digitalizada de un recibo de servicio público reciente que certifique la veracidad del nuevo domicilio, garantizando la correcta cobertura de la aseguradora de riesgos."
